,titles,descriptions,links
0,"Dirk van den Broek (96), grondlegger supermarktketen, overleden","Dirk van den Broek, de grondlegger van de gelijknamige supermarktketen is afgelopen woensdag op 96-jarige leeftijd overleden. Dat staat in een overlijdensbericht van zijn familie in NRC Next en is zojuist gemeld in het NOS Journaal.",
1,"Opnieuw branden in zendmasten, nu in twee in Almere","Opnieuw zijn er branden geweest in zendmasten, vanavond ging het om twee in Almere. Beide branden waren snel onder controle, aldus een woordvoerder van de Veiligheidsregio. De politie onderzoekt de branden. Of ze zijn aangestoken is nog niet duidelijk.",
2,Schoonmoeder krijgt puzzeldoos opgestuurd met 530 xtc-pillen erin,Een wijkagent uit het Noord-Hollandse Niedorp maakt op sociale media melding van een opmerkelijke vondst. In een puzzeldoos zaten 530 xtc-pillen verstopt tussen de puzzelstukjes. De politie is een onderzoek gestart.,
3,Arts ontroert coronapatiënten met vioolspel in ziekenhuis Harderwijk: ‘Kippenvel’,"Stel je voor, je hebt het coronavirus opgelopen en ligt geïsoleerd op een afdeling van het St Jansdal ziekenhuis in Harderwijk. Eén keer per dag mag je bezoek ontvangen. De artsen en verpleegkundigen zijn zo druk dat er nauwelijks tijd is voor een praatje. Het enige waar je aan denkt is corona. Het beheerst je leven. En dan is er ineens een arts die viool begint te spelen.",
4,Meer dan zestig wetenschappers sturen samen brandbrief aan kabinet over corona-app,Zestig gerenommeerde wetenschappers hebben vandaag een brief gestuurd aan het kabinet met daarin de waarschuwing om kritisch te kijken naar het nut en de noodzaak van de corona-apps. Vooral de sociaal-maatschappelijke en juridische impact ervan weegt bij de wetenschappers zwaar.,
5,Noors mysterie na tien jaar opgelost: ‘tentman’ Rafael woont gewoon in Breda,"Het mysterie van de ‘tentman’, dat een Noors dorpje al tien jaar bezighield, is opgelost. De gezochte jongen blijkt een in Breda woonachtige Nederlander te zijn. Hij liet in 2010 al zijn spullen achter op een heuvel.",
6,"Jongen (15) die homoseksueel koppel uitschold, meldt zich bij politie en geeft YouTube-interview",Een jongen van 15 jaar is maandagavond in Amsterdam aangehouden nadat hij twee homoseksuele mannen op straat beledigde en uitschold. Ook maakte hij een trappende beweging. De aanval is gefilmd en de minderjarige verdachte heeft zich de volgende dag gemeld bij de politie. Hij is aangehouden en wordt verdacht van belediging en discriminatie. Op YouTube heeft de jongen een interview gegeven aan de omstreden vlogger Youness Ouaali.,
7,Politie en veiligheidsberaad tevreden over rustig paasweekend,"De politie is tevreden over de wijze waarop de Nederlandse bevolking tijdens het paasweekend is omgesprongen met de coronamaatregelen. Op de meubelboulevards en in de natuur was geen sprake van drukte, al moest er wel opgeroepen worden de Bollenstreek te mijden. De samenleving krijgt in zijn geheel een compliment van de Nijmeegse burgemeester Hubert Bruls, voorzitter van het Veiligheidsberaad van burgemeesters.",
8,Rustgebied vernield door groep terreinwagens: ‘Hierop volgen flinke sancties’,"Een groep crossers die vanmiddag met terreinwagens door de Brabantse Wal reden, kunnen een flinke boete verwachten, aldus boswachter Erik de Jonge. De groep zou een of twee slagbomen hebben vernield om op het terrein bij de Zurenhoek te kunnen komen.",
9,Het coronanieuws van maandag 13 april: bijlezen in één minuut,De stroom aan nieuwsberichten over het coronavirus is amper bij te benen. In dit artikel brengen we het belangrijkste nieuws van vandaag in een kort overzicht.,
